투자자구분,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수
"금융투자","5.57648491E8","5.4876792E8","-8880570.0","247426.0","244553.0","-2874.0"
"보험","1022020.0","1088704.0","66684.0","49377.0","50704.0","1327.0"
"투신","2901109.0","2855283.0","-45826.0","148640.0","146486.0","-2154.0"
"사모","402130.0","448949.0","46819.0","20910.0","23591.0","2682.0"
"은행","405408.0","366160.0","-39248.0","18818.0","16968.0","-1850.0"
"기타금융","199568.0","158949.0","-40619.0","3882.0","3546.0","-336.0"
"연기금 등","2574101.0","2702864.0","128763.0","103672.0","116781.0","13109.0"
"기관합계","5.65152826E8","5.56388829E8","-8763997.0","592725.0","602630.0","9905.0"
"기타법인","6454072.0","6434972.0","-19100.0","31379.0","29410.0","-1968.0"
"개인","6.99491063E8","7.05990026E8","6498963.0","1163415.0","1163428.0","13.0"
"외국인","3.9954717E7","4.2239237E7","2284519.0","351576.0","343760.0","-7815.0"
"기타외국인","507147.0","506762.0","-385.0","3237.0","3103.0","-134.0"
"전체","1.311559825E9","1.311559825E9","0.0","2142331.0","2142331.0","0.0"
