투자자구분,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수
"금융투자","6.220457E7","5.67296E7","-5474970.0","164456.0","163937.0","-519.0"
"보험","791766.0","810748.0","18982.0","29557.0","28304.0","-1253.0"
"투신","1570893.0","1589662.0","18769.0","58811.0","56508.0","-2302.0"
"사모","2238330.0","2369576.0","131246.0","27344.0","26972.0","-372.0"
"은행","841418.0","853382.0","11965.0","13643.0","14850.0","1207.0"
"기타금융","120457.0","48794.0","-71663.0","1774.0","1266.0","-508.0"
"연기금 등","1815288.0","2174181.0","358893.0","96816.0","101058.0","4242.0"
"기관합계","6.9582722E7","6.4575944E7","-5006778.0","392401.0","392895.0","494.0"
"기타법인","7841231.0","7724964.0","-116267.0","17086.0","22610.0","5524.0"
"개인","1.87068916E8","1.90263716E8","3194800.0","704050.0","695486.0","-8564.0"
"외국인","4.4001692E7","4.5589004E7","1587312.0","448821.0","451582.0","2761.0"
"기타외국인","2584571.0","2925504.0","340933.0","2285.0","2069.0","-216.0"
"전체","3.11079132E8","3.11079132E8","0.0","1564642.0","1564642.0","0.0"
