투자자구분,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수
"금융투자","1129315.0","1027833.0","-101482.0","20557.0","19669.0","-888.0"
"보험","278545.0","194139.0","-84406.0","4670.0","3906.0","-765.0"
"투신","2620910.0","2359839.0","-261071.0","51318.0","44183.0","-7135.0"
"사모","0.0","0.0","0.0","0.0","0.0","0.0"
"은행","722595.0","364065.0","-358530.0","7985.0","7339.0","-646.0"
"기타금융","297075.0","185520.0","-111555.0","3444.0","3020.0","-424.0"
"연기금 등","1919608.0","1662538.0","-257070.0","23882.0","25900.0","2018.0"
"기관합계","6968048.0","5793933.0","-1174115.0","111856.0","104016.0","-7840.0"
"기타법인","0.0","0.0","0.0","0.0","0.0","0.0"
"개인","1.24511644E8","1.24950605E8","438961.0","362772.0","356891.0","-5881.0"
"외국인","2996350.0","3731607.0","735257.0","78042.0","91758.0","13716.0"
"기타외국인","7578.0","7475.0","-103.0","44.0","49.0","5.0"
"전체","1.34483619E8","1.34483619E8","0.0","552714.0","552714.0","0.0"
