투자자구분,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수
"금융투자","5.6479201E7","5.149552E7","-4983681.0","106109.0","101875.0","-4234.0"
"보험","917732.0","981602.0","63870.0","36346.0","38381.0","2034.0"
"투신","1946403.0","2088708.0","142305.0","77116.0","77694.0","578.0"
"사모","468626.0","423464.0","-45162.0","19764.0","18731.0","-1033.0"
"은행","334856.0","282406.0","-52450.0","9438.0","7536.0","-1902.0"
"기타금융","84437.0","61843.0","-22594.0","2893.0","2215.0","-678.0"
"연기금 등","1309013.0","1339282.0","30269.0","56244.0","60391.0","4147.0"
"기관합계","6.1540268E7","5.6672824E7","-4867443.0","307909.0","306822.0","-1088.0"
"기타법인","1192748.0","979175.0","-213572.0","16746.0","15613.0","-1133.0"
"개인","1.5615222E8","1.59430497E8","3278277.0","501387.0","499530.0","-1857.0"
"외국인","5.5991941E7","5.7561952E7","1570011.0","336371.0","340590.0","4219.0"
"기타외국인","3014946.0","3247674.0","232728.0","1905.0","1765.0","-141.0"
"전체","2.77892123E8","2.77892123E8","0.0","1164319.0","1164319.0","0.0"
