투자자구분,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수
"금융투자","5.2717959E7","4.7748277E7","-4969683.0","112257.0","111995.0","-262.0"
"보험","980315.0","979286.0","-1029.0","36782.0","36618.0","-163.0"
"투신","1921209.0","1726629.0","-194580.0","75656.0","68773.0","-6883.0"
"사모","441943.0","411348.0","-30594.0","20637.0","19995.0","-642.0"
"은행","417525.0","407514.0","-10010.0","9171.0","9069.0","-103.0"
"기타금융","108515.0","88771.0","-19744.0","2935.0","3122.0","186.0"
"연기금 등","1637545.0","1587221.0","-50324.0","68870.0","77230.0","8359.0"
"기관합계","5.8225012E7","5.2949046E7","-5275965.0","326309.0","326802.0","493.0"
"기타법인","4692025.0","4520064.0","-171961.0","17162.0","22478.0","5316.0"
"개인","2.09809455E8","2.13991357E8","4181903.0","794050.0","793280.0","-770.0"
"외국인","5.4774589E7","5.5757338E7","982749.0","384477.0","380268.0","-4208.0"
"기타외국인","3585165.0","3868439.0","283274.0","3228.0","2398.0","-831.0"
"전체","3.31086245E8","3.31086245E8","0.0","1525225.0","1525225.0","0.0"
