투자자구분,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수
"금융투자","9.1411465E7","8.616567E7","-5245794.0","353323.0","341443.0","-11879.0"
"보험","842513.0","773831.0","-68681.0","33161.0","27760.0","-5402.0"
"투신","2237557.0","2315224.0","77667.0","67386.0","63883.0","-3504.0"
"사모","1103873.0","1032739.0","-71134.0","37447.0","33403.0","-4044.0"
"은행","1157623.0","1261326.0","103703.0","20250.0","22547.0","2297.0"
"기타금융","123137.0","81261.0","-41876.0","3501.0","1997.0","-1504.0"
"연기금 등","4507960.0","4237414.0","-270546.0","356007.0","331639.0","-24368.0"
"기관합계","1.01384127E8","9.5867466E7","-5516661.0","871075.0","822672.0","-48403.0"
"기타법인","1.3867538E7","1.326792E7","-599617.0","41416.0","39790.0","-1626.0"
"개인","3.87297249E8","3.92511921E8","5214672.0","2714439.0","2790221.0","75782.0"
"외국인","1.36284275E8","1.37171214E8","886939.0","971628.0","945629.0","-25998.0"
"기타외국인","921071.0","935738.0","14667.0","6834.0","7080.0","245.0"
"전체","6.39754259E8","6.39754259E8","0.0","4605392.0","4605392.0","0.0"
