종목코드,종목명,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수
"095570","AJ네트웍스","48073843","48073843","0","266.0","266.0","0.0"
"006840","AK홀딩스","17638747","17638747","0","517.0","517.0","0.0"
"027410","BGF","164265129","164265129","0","1063.0","1063.0","0.0"
"282330","BGF리테일","9422410","9422410","0","1551.0","1551.0","0.0"
"138930","BNK금융지주","428901606","428901606","0","3157.0","3157.0","0.0"
"001460","BYC","255360","255360","0","101.0","101.0","0.0"
"001465","BYC우","70644","70644","0","12.0","12.0","0.0"
"001040","CJ","27212904","27212904","0","2745.0","2745.0","0.0"
"079160","CJ CGV","119200126","119200126","0","3479.0","3479.0","0.0"
"00104K","CJ4우(전환)","2566158","2566158","0","205.0","205.0","0.0"
"000120","CJ대한통운","14307148","14307148","0","2404.0","2404.0","0.0"
"011150","CJ씨푸드","152186406","152186406","0","722.0","722.0","0.0"
"011155","CJ씨푸드1우","242407","242407","0","10.0","10.0","0.0"
"001045","CJ우","1149116","1149116","0","69.0","69.0","0.0"
"097950","CJ제일제당","14516273","14516273","0","6211.0","6211.0","0.0"
"097955","CJ제일제당 우","1834332","1834332","0","370.0","370.0","0.0"
"000590","CS홀딩스","1526558","1526558","0","116.0","116.0","0.0"
"012030","DB","580942613","580942613","0","632.0","632.0","0.0"
"016610","DB금융투자","51682705","51682705","0","333.0","333.0","0.0"
"005830","DB손해보험","48849100","48849100","0","2447.0","2447.0","0.0"
"000990","DB하이텍","304747688","304747688","0","18684.0","18684.0","0.0"
"000995","DB하이텍1우","303114","303114","0","36.0","36.0","0.0"
"139130","DGB금융지주","174514099","174514099","0","1518.0","1518.0","0.0"
"001530","DI동일","6681598","6681598","0","1672.0","1672.0","0.0"
"000210","DL","54121237","54121237","0","4375.0","4375.0","0.0"
"001880","DL건설","18388918","18388918","0","644.0","644.0","0.0"
"000215","DL우","2916218","2916218","0","134.0","134.0","0.0"
"375500","DL이앤씨","52707517","52707517","0","6760.0","6760.0","0.0"
"37550K","DL이앤씨우","3851489","3851489","0","304.0","304.0","0.0"
"004840","DRB동일","12752821","12752821","0","92.0","92.0","0.0"
"155660","DSR","111933663","111933663","0","987.0","987.0","0.0"
"069730","DSR제강","144874064","144874064","0","1161.0","1161.0","0.0"
"017940","E1","5706024","5706024","0","298.0","298.0","0.0"
"365550","ESR켄달스퀘어리츠","94365832","94365832","0","605.0","605.0","0.0"
"383220","F&F","8006926","8006926","0","5382.0","5382.0","0.0"
"007700","F&F홀딩스","52298271","52298271","0","3149.0","3149.0","0.0"
"114090","GKL","101672372","101672372","0","1649.0","1649.0","0.0"
"078930","GS","83046583","83046583","0","3521.0","3521.0","0.0"
"006360","GS건설","190524207","190524207","0","8083.0","8083.0","0.0"
"001250","GS글로벌","411893761","411893761","0","1142.0","1142.0","0.0"
"007070","GS리테일","86014234","86014234","0","3047.0","3047.0","0.0"
"078935","GS우","1843507","1843507","0","65.0","65.0","0.0"
"012630","HDC","101887157","101887157","0","1252.0","1252.0","0.0"
"039570","HDC랩스","15911932","15911932","0","195.0","195.0","0.0"
"089470","HDC현대EP","63919908","63919908","0","407.0","407.0","0.0"
"294870","HDC현대산업개발","146081199","146081199","0","4198.0","4198.0","0.0"
"011200","HMM","2072008830","2072008830","0","66672.0","66672.0","0.0"
"082740","HSD엔진","235589656","235589656","0","2097.0","2097.0","0.0"
"003560","IHQ","894552568","894552568","0","1770.0","1770.0","0.0"
"175330","JB금융지주","124792233","124792233","0","924.0","924.0","0.0"
"234080","JW생명과학","24564667","24564667","0","481.0","481.0","0.0"
"001060","JW중외제약","25411199","25411199","0","744.0","744.0","0.0"
"001067","JW중외제약2우B","358943","358943","0","27.0","27.0","0.0"
"001065","JW중외제약우","602421","602421","0","29.0","29.0","0.0"
"096760","JW홀딩스","34284495","34284495","0","166.0","166.0","0.0"
"105560","KB금융","414417975","414417975","0","21402.0","21402.0","0.0"
"002380","KCC","14104503","14104503","0","4385.0","4385.0","0.0"
"344820","KCC글라스","34996702","34996702","0","2025.0","2025.0","0.0"
"009070","KCTC","816445607","816445607","0","6209.0","6209.0","0.0"
"009440","KC그린홀딩스","45484648","45484648","0","249.0","249.0","0.0"
"119650","KC코트렐","104420225","104420225","0","990.0","990.0","0.0"
"092220","KEC","2491991825","2491991825","0","8065.0","8065.0","0.0"
"016380","KG동부제철","147637239","147637239","0","2411.0","2411.0","0.0"
"016385","KG동부제철우","151901","151901","0","22.0","22.0","0.0"
"001390","KG케미칼","76928852","76928852","0","2618.0","2618.0","0.0"
"033180","KH 필룩스","1567388543","1567388543","0","8122.0","8122.0","0.0"
"001940","KISCO홀딩스","10366994","10366994","0","189.0","189.0","0.0"
"025000","KPX케미칼","2584777","2584777","0","162.0","162.0","0.0"
"092230","KPX홀딩스","2413168","2413168","0","165.0","165.0","0.0"
"000040","KR모터스","601035534","601035534","0","781.0","781.0","0.0"
"044450","KSS해운","56997590","56997590","0","724.0","724.0","0.0"
"030200","KT","309072986","309072986","0","9081.0","9081.0","0.0"
"033780","KT&G","127725719","127725719","0","10532.0","10532.0","0.0"
"030210","KTB투자증권","237288002","237288002","0","1469.0","1469.0","0.0"
