투자자구분,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수
"금융투자","5.8626889E7","5.3332184E7","-5294705.0","127889.0","126232.0","-1657.0"
"보험","824226.0","869909.0","45683.0","30314.0","31496.0","1182.0"
"투신","1672615.0","1529352.0","-143263.0","60897.0","53550.0","-7347.0"
"사모","1164703.0","1128580.0","-36122.0","21699.0","20557.0","-1143.0"
"은행","497587.0","423885.0","-73702.0","8411.0","7315.0","-1096.0"
"기타금융","98224.0","84791.0","-13433.0","2481.0","1963.0","-519.0"
"연기금 등","1266865.0","1423972.0","157108.0","56389.0","60803.0","4415.0"
"기관합계","6.4151109E7","5.8792674E7","-5358435.0","308080.0","301916.0","-6164.0"
"기타법인","8627174.0","8449447.0","-177727.0","17265.0","20256.0","2991.0"
"개인","1.95147174E8","1.98607981E8","3460807.0","650450.0","642127.0","-8324.0"
"외국인","4.8041173E7","4.9677247E7","1636073.0","357611.0","369560.0","11949.0"
"기타외국인","3103981.0","3543262.0","439281.0","2201.0","1749.0","-452.0"
"전체","3.19070611E8","3.19070611E8","0.0","1335608.0","1335608.0","0.0"
