투자자구분,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수
"금융투자","5.06018818E8","4.97456331E8","-8562487.0","260867.0","258919.0","-1949.0"
"보험","940918.0","974130.0","33212.0","39371.0","40333.0","962.0"
"투신","2872215.0","2606483.0","-265733.0","134782.0","116318.0","-18464.0"
"사모","488672.0","468217.0","-20455.0","22507.0","20515.0","-1991.0"
"은행","424831.0","357936.0","-66895.0","16092.0","14801.0","-1291.0"
"기타금융","208324.0","162343.0","-45981.0","4599.0","4063.0","-536.0"
"연기금 등","1741591.0","2008779.0","267188.0","59679.0","69106.0","9427.0"
"기관합계","5.1269537E8","5.04034219E8","-8661152.0","537897.0","524055.0","-13843.0"
"기타법인","7616843.0","7450340.0","-166503.0","29613.0","26106.0","-3507.0"
"개인","7.20178876E8","7.26444595E8","6265719.0","998446.0","993745.0","-4701.0"
"외국인","2.321649E7","2.5781091E7","2564601.0","280703.0","302915.0","22213.0"
"기타외국인","430516.0","427851.0","-2665.0","2554.0","2392.0","-161.0"
"전체","1.264138096E9","1.264138096E9","0.0","1849212.0","1849212.0","0.0"
