투자자구분,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수
"금융투자","6.0887739E7","5.7002132E7","-3885608.0","360755.0","361117.0","362.0"
"보험","864180.0","807933.0","-56247.0","22743.0","21516.0","-1227.0"
"투신","1963847.0","1906978.0","-56869.0","56436.0","57131.0","695.0"
"사모","1094543.0","1102931.0","8388.0","37183.0","36246.0","-937.0"
"은행","667247.0","630736.0","-36511.0","12057.0","11283.0","-774.0"
"기타금융","192881.0","163383.0","-29498.0","3148.0","3133.0","-15.0"
"연기금 등","3322518.0","3248108.0","-74411.0","218700.0","215660.0","-3040.0"
"기관합계","6.8992956E7","6.4862201E7","-4130755.0","711020.0","706085.0","-4935.0"
"기타법인","1.7781287E7","1.7649426E7","-131861.0","37526.0","38976.0","1450.0"
"개인","2.26346166E8","2.28958179E8","2612013.0","1690266.0","1678754.0","-11512.0"
"외국인","9.9056909E7","1.0069484E8","1637931.0","763390.0","778513.0","15123.0"
"기타외국인","802399.0","815071.0","12672.0","4791.0","4664.0","-127.0"
"전체","4.12979715E8","4.12979715E8","0.0","3206993.0","3206993.0","0.0"
