투자자구분,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수
"금융투자","6.985216E7","6.6121421E7","-3730738.0","76156.0","82288.0","6132.0"
"보험","679815.0","807759.0","127943.0","21604.0","26089.0","4485.0"
"투신","3952694.0","4561100.0","608407.0","158410.0","169562.0","11152.0"
"사모","327554.0","270861.0","-56693.0","9845.0","9455.0","-390.0"
"은행","309669.0","285228.0","-24442.0","11013.0","11753.0","740.0"
"기타금융","106576.0","116905.0","10330.0","2781.0","2836.0","55.0"
"연기금 등","2414518.0","2701637.0","287119.0","68735.0","86799.0","18064.0"
"기관합계","7.7642986E7","7.4864912E7","-2778074.0","348544.0","388782.0","40238.0"
"기타법인","0.0","0.0","0.0","0.0","0.0","0.0"
"개인","1.9938682E8","2.03586442E8","4199621.0","698176.0","701776.0","3600.0"
"외국인","1.3367249E7","1.1964347E7","-1402902.0","357702.0","314844.0","-42858.0"
"기타외국인","229827.0","211181.0","-18645.0","2447.0","1466.0","-980.0"
"전체","2.90626882E8","2.90626882E8","0.0","1406869.0","1406869.0","0.0"
