투자자구분,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수
"금융투자","4.0207309E7","3.8195996E7","-2011313.0","70196.0","71780.0","1584.0"
"보험","481261.0","456175.0","-25086.0","17650.0","18852.0","1203.0"
"투신","3243324.0","3344347.0","101023.0","144896.0","156365.0","11470.0"
"사모","0.0","0.0","0.0","0.0","0.0","0.0"
"은행","368049.0","300663.0","-67386.0","14772.0","13028.0","-1745.0"
"기타금융","191063.0","153232.0","-37831.0","4259.0","3738.0","-521.0"
"연기금 등","2519766.0","2524092.0","4326.0","75806.0","90045.0","14238.0"
"기관합계","4.7010772E7","4.4974506E7","-2036266.0","327579.0","353808.0","26230.0"
"기타법인","0.0","0.0","0.0","0.0","0.0","0.0"
"개인","1.30432968E8","1.32672098E8","2239131.0","759338.0","766261.0","6923.0"
"외국인","8732614.0","8596364.0","-136250.0","353030.0","322348.0","-30682.0"
"기타외국인","190502.0","123887.0","-66615.0","3880.0","1409.0","-2470.0"
"전체","1.86366856E8","1.86366856E8","0.0","1443826.0","1443826.0","0.0"
