투자자구분,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수
"금융투자","7.5939392E7","6.8852068E7","-7087325.0","337173.0","327578.0","-9595.0"
"보험","1095465.0","951219.0","-144246.0","32103.0","27532.0","-4571.0"
"투신","2686675.0","2268492.0","-418184.0","64511.0","53558.0","-10953.0"
"사모","974842.0","834398.0","-140444.0","26353.0","23189.0","-3165.0"
"은행","645518.0","570796.0","-74722.0","11618.0","9386.0","-2231.0"
"기타금융","92651.0","96018.0","3367.0","2088.0","2007.0","-81.0"
"연기금 등","4509145.0","4299739.0","-209406.0","241571.0","237471.0","-4100.0"
"기관합계","8.5943689E7","7.7872729E7","-8070960.0","715417.0","680720.0","-34697.0"
"기타법인","1.4933808E7","1.484402E7","-89787.0","33445.0","36141.0","2697.0"
"개인","3.70952763E8","3.77809229E8","6856466.0","2407494.0","2461599.0","54105.0"
"외국인","1.30286018E8","1.31577749E8","1291731.0","877862.0","855681.0","-22181.0"
"기타외국인","777980.0","790530.0","12550.0","5689.0","5766.0","76.0"
"전체","6.02894257E8","6.02894257E8","0.0","4039907.0","4039907.0","0.0"
