투자자구분,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수
"금융투자","7.1959962E7","6.6516603E7","-5443360.0","168166.0","175639.0","7473.0"
"보험","957938.0","869943.0","-87995.0","24946.0","23489.0","-1458.0"
"투신","2461998.0","2423153.0","-38845.0","47513.0","43698.0","-3815.0"
"사모","942239.0","894740.0","-47498.0","25559.0","24441.0","-1119.0"
"은행","397023.0","231670.0","-165352.0","6202.0","4383.0","-1820.0"
"기타금융","79355.0","60766.0","-18589.0","1535.0","1301.0","-234.0"
"연기금 등","2718866.0","2980639.0","261773.0","117174.0","128315.0","11141.0"
"기관합계","7.9517381E7","7.3977514E7","-5539866.0","391096.0","401265.0","10169.0"
"기타법인","1.2166949E7","1.1887094E7","-279855.0","13396.0","15447.0","2051.0"
"개인","2.34896225E8","2.39014119E8","4117894.0","731012.0","719984.0","-11028.0"
"외국인","8.2145954E7","8.3838772E7","1692818.0","451833.0","450753.0","-1080.0"
"기타외국인","583612.0","592622.0","9010.0","1627.0","1514.0","-113.0"
"전체","4.09310121E8","4.09310121E8","0.0","1588964.0","1588964.0","0.0"
