투자자구분,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수
"금융투자","582315.0","535704.0","-46612.0","12459.0","11949.0","-510.0"
"보험","219489.0","202247.0","-17242.0","4883.0","4423.0","-459.0"
"투신","2340068.0","2230482.0","-109586.0","53923.0","49094.0","-4829.0"
"사모","0.0","0.0","0.0","0.0","0.0","0.0"
"은행","428233.0","336886.0","-91347.0","8319.0","6644.0","-1675.0"
"기타금융","199305.0","159137.0","-40168.0","2959.0","2794.0","-164.0"
"연기금 등","1899897.0","1876666.0","-23231.0","29293.0","33203.0","3909.0"
"기관합계","5669307.0","5341122.0","-328185.0","111836.0","108107.0","-3729.0"
"기타법인","0.0","0.0","0.0","0.0","0.0","0.0"
"개인","8.3171833E7","8.2829495E7","-342338.0","326204.0","319565.0","-6640.0"
"외국인","4171586.0","4852763.0","681177.0","119887.0","130382.0","10495.0"
"기타외국인","95770.0","85116.0","-10654.0","667.0","540.0","-127.0"
"전체","9.3108496E7","9.3108496E7","0.0","558594.0","558594.0","0.0"
