종목코드,종목명,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수
"009420","한올바이오파마","85205688","85205688","0","2735.0","2735.0","0.0"
"014130","한익스프레스","107481489","107481489","0","845.0","845.0","0.0"
"300720","한일시멘트","953230","953230","0","121.0","121.0","0.0"
"002220","한일철강","4006006","4006006","0","15.0","15.0","0.0"
"006390","한일현대시멘트","10557195","10557195","0","438.0","438.0","0.0"
"003300","한일홀딩스","2055451","2055451","0","109.0","109.0","0.0"
"051600","한전KPS","38406543","38406543","0","1314.0","1314.0","0.0"
"052690","한전기술","21755068","21755068","0","490.0","490.0","0.0"
"130660","한전산업","12288717","12288717","0","45.0","45.0","0.0"
"002320","한진","37478264","37478264","0","1467.0","1467.0","0.0"
"097230","한진중공업","351307213","351307213","0","660.0","660.0","0.0"
"003480","한진중공업홀딩스","27209615","27209615","0","94.0","94.0","0.0"
"180640","한진칼","338457940","338457940","0","12284.0","12284.0","0.0"
"18064K","한진칼우","30229555","30229555","0","1558.0","1558.0","0.0"
"005110","한창","1490740143","1490740143","0","5219.0","5219.0","0.0"
"009460","한창제지","1111430362","1111430362","0","3522.0","3522.0","0.0"
"000880","한화","43446752","43446752","0","1199.0","1199.0","0.0"
"00088K","한화3우B","11440332","11440332","0","163.0","163.0","0.0"
"027390","한화갤러리아타임월드","8100127","8100127","0","238.0","238.0","0.0"
"088350","한화생명","401671251","401671251","0","1202.0","1202.0","0.0"
"000370","한화손해보험","46400262","46400262","0","193.0","193.0","0.0"
"272210","한화시스템","47290758","47290758","0","533.0","533.0","0.0"
"012450","한화에어로스페이스","63429711","63429711","0","2265.0","2265.0","0.0"
"000885","한화우","14940689","14940689","0","541.0","541.0","0.0"
"009830","한화케미칼","162548891","162548891","0","3280.0","3280.0","0.0"
"009835","한화케미칼우","19581716","19581716","0","320.0","320.0","0.0"
"003530","한화투자증권","63885160","63885160","0","143.0","143.0","0.0"
"003535","한화투자증권우","41885786","41885786","0","127.0","127.0","0.0"
"195870","해성디에스","18163377","18163377","0","264.0","264.0","0.0"
"101530","해태제과식품","9625388","9625388","0","96.0","96.0","0.0"
"143210","핸즈코퍼레이션","5318309","5318309","0","36.0","36.0","0.0"
"000720","현대건설","135782531","135782531","0","6814.0","6814.0","0.0"
"267270","현대건설기계","28129709","28129709","0","1168.0","1168.0","0.0"
"000725","현대건설우","659694","659694","0","129.0","129.0","0.0"
"005440","현대그린푸드","32280823","32280823","0","417.0","417.0","0.0"
"086280","현대글로비스","19982826","19982826","0","2963.0","2963.0","0.0"
"064350","현대로템","179028279","179028279","0","4012.0","4012.0","0.0"
"079430","현대리바트","12926191","12926191","0","233.0","233.0","0.0"
"012330","현대모비스","53703856","53703856","0","12430.0","12430.0","0.0"
"010620","현대미포조선","43400254","43400254","0","2238.0","2238.0","0.0"
"069960","현대백화점","15374225","15374225","0","1317.0","1317.0","0.0"
"004560","현대비앤지스틸","8511101","8511101","0","84.0","84.0","0.0"
"004565","현대비앤지스틸우","1094351","1094351","0","81.0","81.0","0.0"
"011760","현대상사","26069907","26069907","0","670.0","670.0","0.0"
"011200","현대상선","219212830","219212830","0","827.0","827.0","0.0"
