투자자구분,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수
"금융투자","6.5103727E7","5.8744368E7","-6359359.0","180949.0","175958.0","-4991.0"
"보험","874076.0","970560.0","96485.0","31541.0","32202.0","661.0"
"투신","2563357.0","2737292.0","173935.0","63987.0","67299.0","3312.0"
"사모","2005049.0","1967220.0","-37829.0","42722.0","40795.0","-1927.0"
"은행","614089.0","686917.0","72828.0","13713.0","14158.0","445.0"
"기타금융","118858.0","74510.0","-44348.0","2382.0","2067.0","-315.0"
"연기금 등","2559063.0","2564229.0","5166.0","129456.0","130403.0","947.0"
"기관합계","7.3838218E7","6.7745096E7","-6093122.0","464750.0","462881.0","-1868.0"
"기타법인","1.3327274E7","1.3204355E7","-122919.0","21348.0","23052.0","1704.0"
"개인","2.1646502E8","2.2111898E8","4653960.0","962448.0","971304.0","8856.0"
"외국인","7.4542838E7","7.6100537E7","1557699.0","543255.0","534598.0","-8658.0"
"기타외국인","486077.0","490458.0","4381.0","2246.0","2212.0","-34.0"
"전체","3.78659427E8","3.78659427E8","0.0","1994047.0","1994047.0","0.0"
