투자자구분,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수
"금융투자","839219.0","743124.0","-96095.0","16448.0","15931.0","-517.0"
"보험","275404.0","329557.0","54153.0","6177.0","7243.0","1067.0"
"투신","2378122.0","2844880.0","466758.0","64625.0","74024.0","9399.0"
"사모","0.0","0.0","0.0","0.0","0.0","0.0"
"은행","509723.0","368561.0","-141162.0","10153.0","7913.0","-2240.0"
"기타금융","212987.0","186116.0","-26871.0","2517.0","2404.0","-112.0"
"연기금 등","2346091.0","2200919.0","-145172.0","40438.0","45235.0","4797.0"
"기관합계","6561547.0","6673158.0","111610.0","140357.0","152750.0","12394.0"
"기타법인","0.0","0.0","0.0","0.0","0.0","0.0"
"개인","1.05044018E8","1.05142209E8","98191.0","484044.0","476031.0","-8013.0"
"외국인","5159753.0","4980778.0","-178975.0","162967.0","159787.0","-3180.0"
"기타외국인","156629.0","125803.0","-30826.0","1974.0","774.0","-1200.0"
"전체","1.16921947E8","1.16921947E8","0.0","789342.0","789342.0","0.0"
