투자자구분,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수
"금융투자","1.76811977E8","1.7213305E8","-4678927.0","142927.0","144978.0","2050.0"
"보험","924901.0","975277.0","50376.0","29627.0","29578.0","-48.0"
"투신","4915601.0","5427573.0","511972.0","194670.0","188181.0","-6488.0"
"사모","437125.0","320509.0","-116616.0","13406.0","11397.0","-2009.0"
"은행","444987.0","298421.0","-146566.0","12992.0","9803.0","-3189.0"
"기타금융","229955.0","180791.0","-49164.0","4235.0","4039.0","-196.0"
"연기금 등","1916045.0","1778226.0","-137819.0","57259.0","49922.0","-7337.0"
"기관합계","1.85680591E8","1.81113846E8","-4566744.0","455116.0","437899.0","-17218.0"
"기타법인","2166150.0","1935891.0","-230259.0","23626.0","20799.0","-2827.0"
"개인","3.81222646E8","3.85181932E8","3959286.0","982899.0","981502.0","-1397.0"
"외국인","1.5173575E7","1.6073378E7","899803.0","247370.0","270824.0","23454.0"
"기타외국인","538883.0","476797.0","-62086.0","4234.0","2221.0","-2013.0"
"전체","5.84781844E8","5.84781844E8","0.0","1713245.0","1713245.0","0.0"
