투자자구분,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수
"금융투자","2.5452373E7","2.461559E7","-836783.0","47919.0","47748.0","-171.0"
"보험","296010.0","372556.0","76547.0","8261.0","10908.0","2646.0"
"투신","2895014.0","3003666.0","108652.0","94895.0","102309.0","7414.0"
"사모","0.0","0.0","0.0","0.0","0.0","0.0"
"은행","354246.0","313743.0","-40503.0","10357.0","10343.0","-14.0"
"기타금융","149686.0","150791.0","1105.0","2935.0","2773.0","-162.0"
"연기금 등","1843073.0","1920762.0","77689.0","47220.0","52295.0","5076.0"
"기관합계","3.0990402E7","3.0377109E7","-613293.0","211588.0","226376.0","14788.0"
"기타법인","0.0","0.0","0.0","0.0","0.0","0.0"
"개인","8.7954963E7","8.8870582E7","915620.0","461185.0","458356.0","-2829.0"
"외국인","5876159.0","5625630.0","-250529.0","225580.0","214391.0","-11189.0"
"기타외국인","136285.0","84487.0","-51797.0","1542.0","771.0","-771.0"
"전체","1.24957808E8","1.24957808E8","0.0","899895.0","899895.0","0.0"
