투자자구분,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수
"금융투자","1.30102192E8","1.23995678E8","-6106514.0","96925.0","97443.0","518.0"
"보험","967144.0","1019902.0","52758.0","41141.0","44772.0","3631.0"
"투신","2170481.0","2052038.0","-118443.0","98540.0","92856.0","-5685.0"
"사모","347734.0","319936.0","-27798.0","17693.0","17540.0","-153.0"
"은행","314556.0","299885.0","-14670.0","11308.0","11698.0","390.0"
"기타금융","78375.0","43479.0","-34897.0","1687.0","1517.0","-169.0"
"연기금 등","1878698.0","1927052.0","48353.0","89062.0","93326.0","4264.0"
"기관합계","1.35859181E8","1.2965797E8","-6201210.0","356355.0","359152.0","2797.0"
"기타법인","2117070.0","2058550.0","-58520.0","20427.0","15665.0","-4761.0"
"개인","2.82493711E8","2.85603996E8","3110285.0","703235.0","687984.0","-15250.0"
"외국인","3.8751302E7","4.1924215E7","3172913.0","308361.0","326353.0","17991.0"
"기타외국인","293057.0","269589.0","-23468.0","2787.0","2010.0","-776.0"
"전체","4.5951432E8","4.5951432E8","0.0","1391165.0","1391165.0","0.0"
