종목코드,종목명,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수
"095570","AJ네트웍스","93502130","93502130","0","367.0","367.0","0.0"
"006840","AK홀딩스","15786201","15786201","0","342.0","342.0","0.0"
"027410","BGF","79026273","79026273","0","363.0","363.0","0.0"
"282330","BGF리테일","11022796","11022796","0","1532.0","1532.0","0.0"
"138930","BNK금융지주","402589015","402589015","0","2185.0","2185.0","0.0"
"001460","BYC","291566","291566","0","63.0","63.0","0.0"
"001465","BYC우","146595","146595","0","19.0","19.0","0.0"
"001040","CJ","24715952","24715952","0","2030.0","2030.0","0.0"
"079160","CJ CGV","105131997","105131997","0","2408.0","2408.0","0.0"
"00104K","CJ4우(전환)","4195160","4195160","0","238.0","238.0","0.0"
"000120","CJ대한통운","21498666","21498666","0","3356.0","3356.0","0.0"
"011150","CJ씨푸드","1500777104","1500777104","0","6653.0","6653.0","0.0"
"011155","CJ씨푸드1우","8198505","8198505","0","368.0","368.0","0.0"
"001045","CJ우","4783256","4783256","0","229.0","229.0","0.0"
"097950","CJ제일제당","18702951","18702951","0","6125.0","6125.0","0.0"
"097955","CJ제일제당 우","2425712","2425712","0","352.0","352.0","0.0"
"000590","CS홀딩스","1372773","1372773","0","86.0","86.0","0.0"
"012030","DB","233925577","233925577","0","171.0","171.0","0.0"
"016610","DB금융투자","44686325","44686325","0","165.0","165.0","0.0"
"005830","DB손해보험","63059769","63059769","0","2670.0","2670.0","0.0"
"000990","DB하이텍","309570978","309570978","0","10016.0","10016.0","0.0"
"000995","DB하이텍1우","2576514","2576514","0","327.0","327.0","0.0"
"139130","DGB금융지주","251672390","251672390","0","1426.0","1426.0","0.0"
"001530","DI동일","4280267","4280267","0","365.0","365.0","0.0"
"004840","DRB동일","87727591","87727591","0","616.0","616.0","0.0"
"155660","DSR","58622735","58622735","0","315.0","315.0","0.0"
"069730","DSR제강","51911304","51911304","0","230.0","230.0","0.0"
"017940","E1","5139783","5139783","0","209.0","209.0","0.0"
"365550","ESR켄달스퀘어리츠","15524864","15524864","0","79.0","79.0","0.0"
"007700","F&F","23269192","23269192","0","2246.0","2246.0","0.0"
"114090","GKL","106306755","106306755","0","1561.0","1561.0","0.0"
"078930","GS","74145566","74145566","0","2759.0","2759.0","0.0"
"006360","GS건설","146720309","146720309","0","3994.0","3994.0","0.0"
"001250","GS글로벌","102810609","102810609","0","177.0","177.0","0.0"
"007070","GS리테일","75575960","75575960","0","2704.0","2704.0","0.0"
"078935","GS우","2155151","2155151","0","66.0","66.0","0.0"
"012630","HDC","123179638","123179638","0","1245.0","1245.0","0.0"
"039570","HDC아이콘트롤스","20165195","20165195","0","182.0","182.0","0.0"
